Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
C. Gasper,Chase Gasper,67,68,1100000,LB,LB,United States,https://cdn.sofifa.net/players/247/474/23_60.png,26,183,84,1607,362,LA Galaxy,3000,1700000,SUB,2023,77,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
Carlos Nieto,Carlos Nieto Herrero,67,70,1200000,LB,LB,Spain,https://cdn.sofifa.net/players/225/202/23_60.png,26,179,74,1806,384,Real Zaragoza,4000,2000000,LB,2024,17,2014,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
Li Ang,Ang Li,67,67,875000,"CB,CDM",CB,China PR,https://cdn.sofifa.net/players/224/690/23_60.png,28,188,88,1874,383,Shanghai Port FC,6000,1400000,CB,2025,2,2021,-,Left,3,2,1,-,-,-,-,High,Medium
Jeong Jae Yong,Jae Yong Jeong,67,67,725000,"CDM,CM",CDM,Korea Republic,https://cdn.sofifa.net/players/213/170/23_60.png,31,188,83,1772,373,Suwon FC,3000,906000,CM,2022,8,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium
O. Davida,Osher Davida,67,76,2300000,"RW,ST",LM,Israel,https://cdn.sofifa.net/players/271/538/23_60.png,21,177,74,1737,369,Standard de Liège,5000,3900000,RES,2026,17,2022,-,Left,4,2,1,-,-,-,-,Medium,Medium
Saúl Coco,Saúl Basilio Coco Bassey Oubiña,67,78,2100000,CB,CB,Equatorial Guinea,https://cdn.sofifa.net/players/265/650/23_60.png,23,188,76,1513,336,Unión Deportiva Las Palmas,3000,3800000,SUB,2025,23,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium
C. Clark,Caden Clark,67,84,2600000,"CAM,CM,LW",CAM,United States,https://cdn.sofifa.net/players/259/249/23_60.png,19,180,68,1750,380,New York Red Bulls,8000,0,CAM,2022,37,2021,TRUE,Right,3,4,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,Medium
A. López,Andrés López,67,67,900000,"RB,RM",RB,Ecuador,https://cdn.sofifa.net/players/253/361/23_60.png,29,167,67,1724,379,LDU Quito,500,1900000,SUB,2022,25,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,High,Medium
O. Vâlceanu,Octavian Vâlceanu,67,72,1200000,GK,GK,Romania,https://cdn.sofifa.net/players/251/057/23_60.png,25,187,77,1012,352,Petrolul Ploiești,3000,0,GK,2023,31,2022,TRUE,Right,3,1,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium
Rafael de Aseiro,Rafael Simão de Aseiro Vieira,67,67,675000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/321/23_60.png,30,190,85,1108,365,São Paulo,9000,1300000,SUB,2025,30,2022,-,Left,1,1,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
A. Grønbæk,Albert Grønbæk,67,78,2300000,"CM,LW",CAM,Denmark,https://cdn.sofifa.net/players/256/949/23_60.png,21,185,73,1879,402,FK Bodø/Glimt,2000,3500000,SUB,2027,8,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium
B. Stillhart,Basil Stillhart,67,68,975000,"CDM,CB",CM,Switzerland,https://cdn.sofifa.net/players/243/894/23_60.png,28,177,76,1850,389,FC St. Gallen 1879,4000,1500000,CB,2023,6,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High
E. Fereira,Eduardo Fereira,67,77,2200000,RB,RB,Venezuela,https://cdn.sofifa.net/players/253/878/23_60.png,21,170,65,1660,350,Casa Pia,2000,5000000,SUB,2025,2,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Low
C. Ngonge,Cyril Ngonge,67,73,1600000,"RM,ST",ST,Belgium,https://cdn.sofifa.net/players/246/457/23_60.png,22,179,67,1716,374,FC Groningen,3000,2600000,SUB,2025,27,2021,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/be.png,-,-,High,Low
D. Marcq,Damien Marcq,67,67,500000,"CDM,CM",CDM,France,https://cdn.sofifa.net/players/181/436/23_60.png,33,181,76,1614,339,Royal Charleroi S.C.,5000,750000,SUB,2023,25,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Low,High
Rubén Yáñez,Rubén Yáñez Alabart,67,69,875000,GK,GK,Spain,https://cdn.sofifa.net/players/219/836/23_60.png,28,190,85,1117,370,Málaga CF,3000,1500000,SUB,2025,13,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
F. Bravo,Federico Bravo,67,67,900000,"CDM,CB",CDM,Argentina,https://cdn.sofifa.net/players/214/972/23_60.png,28,185,77,1686,358,CD Antofagasta,3000,1200000,CB,2022,6,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Low,High
R. Civelek,Ramazan Civelek,67,70,1200000,"RB,RM",RM,Turkey,https://cdn.sofifa.net/players/228/283/23_60.png,26,171,65,1837,389,Yukatel Kayserispor,6000,2500000,SUB,2023,28,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,High
J. Williams,Josh Williams,67,67,325000,CB,CB,United States,https://cdn.sofifa.net/players/202/171/23_60.png,34,188,88,1703,360,Columbus Crew,3000,488000,SUB,2022,3,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
Álvaro Vázquez,Álvaro Vázquez García,67,67,850000,ST,ST,Spain,https://cdn.sofifa.net/players/201/403/23_60.png,31,182,79,1776,375,FC Goa,950,1100000,ST,2024,9,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Low
M. Braida,Malcom Braida,67,70,1300000,"LW,LM,RW",ST,Argentina,https://cdn.sofifa.net/players/258/746/23_60.png,25,175,72,1687,369,San Lorenzo de Almagro,5000,2000000,LWB,2024,21,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Low
S. Soumano,Sambou Soumano,67,76,2300000,ST,ST,Senegal,https://cdn.sofifa.net/players/257/978/23_60.png,21,182,75,1518,330,KAS Eupen,6000,0,SUB,2023,22,2021,TRUE,Right,3,2,1,-,-,-,-,Medium,Medium
J. Tolkin,John Tolkin,67,76,2100000,"LB,LWB,LM",LWB,United States,https://cdn.sofifa.net/players/251/834/23_60.png,19,170,61,1747,373,New York Red Bulls,1000,3600000,LB,2022,47,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High
L. Recalde,Luciano Recalde,67,70,1200000,CB,CB,Argentina,https://cdn.sofifa.net/players/242/362/23_60.png,26,185,80,1466,315,Cienciano,500,2700000,CB,2022,19,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
M. Bundu,Mustapha Bundu,67,70,1300000,"RM,RW",RM,Sierra Leone,https://cdn.sofifa.net/players/236/474/23_60.png,25,188,77,1753,389,FC Andorra,7000,0,SUB,2023,18,2022,TRUE,Right,4,3,1,-,-,-,-,High,Medium
S. Allagbé,Saturnin Allagbé,67,68,800000,GK,GK,Benin,https://cdn.sofifa.net/players/218/298/23_60.png,28,189,79,1101,364,Dijon FCO,2000,1500000,SUB,2024,16,2020,-,Right,2,1,1,-,-,-,-,Medium,Medium
E. Ferigra,Erick Ferigra,67,78,2100000,CB,CB,Ecuador,https://cdn.sofifa.net/players/245/689/23_60.png,23,180,74,1538,342,FC Paços de Ferreira,3000,4800000,SUB,2023,23,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Low,Medium
P. Hanlon,Paul Hanlon,67,67,650000,CB,CB,Scotland,https://cdn.sofifa.net/players/189/110/23_60.png,32,180,70,1631,348,Hibernian,3000,1100000,CB,2024,4,2008,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,High
Sergio Moreno,Sergio Moreno Martínez,67,76,2300000,ST,ST,Spain,https://cdn.sofifa.net/players/244/921/23_60.png,23,178,75,1528,326,CA Osasuna,7000,0,SUB,2023,32,2018,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
E. Iyoha,Emmanuel Iyoha,67,70,1400000,"ST,RM",ST,Germany,https://cdn.sofifa.net/players/231/353/23_60.png,24,191,86,1590,347,Fortuna Düsseldorf,8000,2300000,SUB,2024,19,2015,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Low
R. Swete,Rene Swete,67,67,500000,GK,GK,Austria,https://cdn.sofifa.net/players/229/817/23_60.png,32,186,79,1137,381,TSV Egger Glas Hartberg,3000,725000,GK,2024,1,2017,-,Left,3,1,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
André Moreira,André Campos Moreira,67,72,1200000,GK,GK,Portugal,https://cdn.sofifa.net/players/224/953/23_60.png,26,194,96,1161,384,Grasshopper Club Zürich,4000,1800000,GK,2023,1,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium
C. Leemans,Clint Leemans,67,68,1200000,"CM,RW",CM,Netherlands,https://cdn.sofifa.net/players/224/185/23_60.png,26,189,79,1898,391,Viborg FF,5000,1600000,CM,2023,14,2021,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
B. Godeau,Bruno Godeau,67,67,825000,CB,CB,Belgium,https://cdn.sofifa.net/players/210/361/23_60.png,30,190,78,1498,315,KAA Gent,7000,1200000,SUB,2023,31,2020,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Low,Medium
M. Rzatkowski,Marc Rzatkowski,67,67,800000,"CM,CDM,CAM",CM,Germany,https://cdn.sofifa.net/players/199/353/23_60.png,32,172,66,1884,387,DSC Arminia Bielefeld,7000,1300000,SUB,2023,16,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
C. Olses,Carlos Olses,67,79,2200000,GK,GK,Venezuela,https://cdn.sofifa.net/players/247/736/23_60.png,21,193,79,964,357,Deportivo La Guaira FC,500,5200000,GK,2023,1,2020,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium
F. Saravia,Franco Saravia,67,74,1800000,GK,GK,Peru,https://cdn.sofifa.net/players/256/183/23_60.png,22,175,75,942,346,Club Alianza Lima,500,4300000,SUB,2022,32,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium
A. Sayyadmanesh,Allahyar Sayyadmanesh,67,78,2300000,"ST,LW,RW",ST,Iran,https://cdn.sofifa.net/players/251/575/23_60.png,21,180,77,1793,392,Hull City,5000,4800000,SUB,2026,9,2022,-,Right,4,3,1,-,-,-,-,High,High
Y. Dhanda,Yan Dhanda,67,73,1600000,"CAM,CM",CAM,England,https://cdn.sofifa.net/players/231/863/23_60.png,23,171,63,1704,359,Ross County FC,3000,3100000,SUB,2024,10,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
M. Wunderlich,Mike Wunderlich,67,67,325000,"CAM,CM",CAM,Germany,https://cdn.sofifa.net/players/199/351/23_60.png,36,184,70,1793,369,1. FC Kaiserslautern,4000,504000,CAM,2023,28,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium
Y. Ibrahimaj,Ylldren Ibrahimaj,67,68,1200000,"RM,CM",RM,Kosovo,https://cdn.sofifa.net/players/246/389/23_60.png,26,178,70,1834,394,Lillestrøm SK,2000,1600000,RM,2024,20,2022,-,Left,3,3,1,-,-,-,-,Medium,Medium
F. Álvarez,Francisco Álvarez,67,77,2100000,CB,CB,Argentina,https://cdn.sofifa.net/players/242/569/23_60.png,22,180,74,1470,322,Patronato,4000,0,CB,2023,17,2022,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
R. Quijada,Rubert Quijada,67,67,475000,"CB,LB",CB,Venezuela,https://cdn.sofifa.net/players/209/073/23_60.png,33,187,76,1548,339,Caracas Fútbol Club,500,1000000,CB,2022,6,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Low,Medium
L. Jans,Laurent Jans,67,67,900000,RB,RB,Luxembourg,https://cdn.sofifa.net/players/206/269/23_60.png,29,175,75,1815,381,SV Waldhof Mannheim 07,2000,1300000,RB,2023,18,2022,-,Right,4,3,1,-,-,-,-,Medium,Medium
G. Bello,George Bello,67,79,2300000,"LWB,LM",LWB,United States,https://cdn.sofifa.net/players/242/628/23_60.png,20,170,68,1681,371,DSC Arminia Bielefeld,4000,4099999,RES,2026,24,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
S. Al Nabit,Sumayhan Al Nabit,67,67,1100000,"LM,RM",LM,Saudi Arabia,https://cdn.sofifa.net/players/240/068/23_60.png,26,174,68,1644,349,Al Taawoun,9000,1800000,LM,2023,8,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,High,Low
C. Monschein,Christoph Monschein,67,67,1000000,ST,CF,Austria,https://cdn.sofifa.net/players/232/900/23_60.png,29,178,74,1664,360,SV Ried,5000,1500000,ST,2024,7,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
J. Ginnelly,Josh Ginnelly,67,70,1300000,"RW,ST",RM,England,https://cdn.sofifa.net/players/222/916/23_60.png,25,173,65,1762,383,Heart of Midlothian,3000,2400000,SUB,2023,30,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low
F. Kaufmann,Fabio Kaufmann,67,67,1000000,"RM,ST",RM,Germany,https://cdn.sofifa.net/players/216/260/23_60.png,29,181,72,1800,389,Eintracht Braunschweig,6000,1600000,ST,2024,37,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High
Y. Qasmi,Yacine Qasmi,67,67,850000,ST,ST,Morocco,https://cdn.sofifa.net/players/201/924/23_60.png,31,184,79,1619,336,CD Leganés,5000,1400000,SUB,2023,9,2022,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/ma.png,-,-,Medium,Low
J. Alman,Jostin Alman,67,68,1200000,ST,ST,Ecuador,https://cdn.sofifa.net/players/265/667/23_60.png,27,192,78,1797,383,Delfín Sporting Club,500,2700000,ST,2022,19,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium
V. Müller,Vincent Müller,67,77,2000000,GK,GK,Germany,https://cdn.sofifa.net/players/251/330/23_60.png,21,190,91,935,364,MSV Duisburg,2000,3300000,GK,2024,1,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
I. Quílez,Ismael Quílez,67,67,700000,"RB,RWB,RM",RB,Argentina,https://cdn.sofifa.net/players/215/234/23_60.png,32,179,76,1652,360,Club Atlético Huracán,5000,1100000,SUB,2022,4,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
P. Faragò,Paolo Faragò,67,67,1000000,"CM,RB",CM,Italy,https://cdn.sofifa.net/players/211/394/23_60.png,29,187,80,1716,375,Como,2000,1600000,SUB,2024,8,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High
J. Elvedi,Jan Elvedi,67,70,1200000,CB,CB,Switzerland,https://cdn.sofifa.net/players/256/705/23_60.png,25,187,83,1633,362,SSV Jahn Regensburg,5000,2000000,CB,2023,33,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High
M. Beevers,Mark Beevers,67,67,650000,CB,CB,England,https://cdn.sofifa.net/players/182/209/23_60.png,32,193,80,1486,322,Perth Glory,2000,813000,CB,2024,5,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,High
N. Siega,Nicholas Siega,67,67,825000,"CM,CAM",LM,Italy,https://cdn.sofifa.net/players/235/201/23_60.png,31,178,73,1874,403,Südtirol,1000,1300000,SUB,2023,7,2022,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium
A. Olliero,Alexandre Olliero,67,72,1200000,GK,GK,France,https://cdn.sofifa.net/players/231/105/23_60.png,26,193,85,1122,378,Pau FC,2000,2200000,GK,2023,1,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
T. Horvat,Tomi Horvat,67,72,1500000,"CM,CAM",CAM,Slovenia,https://cdn.sofifa.net/players/270/017/23_60.png,23,176,69,1840,380,SK Sturm Graz,7000,2400000,CAM,2025,19,2022,-,Left,3,2,1,-,-,-,-,Medium,Medium
D. Wotherspoon,David Wotherspoon,67,67,800000,"CM,LW",CAM,Canada,https://cdn.sofifa.net/players/193/728/23_60.png,32,181,76,1853,389,St. Johnstone FC,3000,1400000,RES,2023,10,2013,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/ca.png,-,-,High,Medium
A. Mehmeti,Anis Mehmeti,67,80,2500000,"LW,CM,CAM",CAM,Albania,https://cdn.sofifa.net/players/250/816/23_60.png,21,180,63,1743,381,Wycombe Wanderers,3000,5900000,LM,2024,11,2020,-,Right,3,3,1,-,-,-,-,High,Medium
Yang Liyu,Liyu Yang,67,69,1300000,"RM,RW,ST",RM,China PR,https://cdn.sofifa.net/players/241/344/23_60.png,25,179,65,1775,380,Guangzhou FC,4000,2100000,RM,2022,17,2018,-,Right,2,3,1,-,-,-,-,Medium,Medium
C. Bălgrădean,Cristian Bălgrădean,67,67,170000,GK,GK,Romania,https://cdn.sofifa.net/players/206/272/23_60.png,34,186,88,1226,383,CFR Cluj,5000,238000,SUB,2024,34,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium
Luís Mata,Luís Carlos Machado Mata,67,71,1400000,LB,LWB,Portugal,https://cdn.sofifa.net/players/257/471/23_60.png,24,181,66,1648,353,Pogoń Szczecin,3000,2000000,LB,2023,97,2020,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium
A. Kalulu,Aldo Kalulu,67,70,1300000,"ST,LM",RW,France,https://cdn.sofifa.net/players/230/079/23_60.png,26,166,68,1742,372,FC Sochaux-Montbéliard,3000,2400000,ST,2024,15,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low
D. Stojanović,Dejan Stojanović,67,68,800000,GK,GK,North Macedonia,https://cdn.sofifa.net/players/205/759/23_60.png,28,195,89,1074,365,SSV Jahn Regensburg,4000,1300000,GK,2024,1,2022,-,Left,2,1,1,-,-,-,-,Medium,Medium
J. Ayala,Josué Ayala,67,67,170000,GK,GK,Argentina,https://cdn.sofifa.net/players/184/254/23_60.png,34,184,85,1014,367,Club Atlético Sarmiento,3000,247000,SUB,2022,38,2022,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
Diogo Calila,Diogo dos Santos Cabral,67,74,1900000,"RB,LB",RB,Portugal,https://cdn.sofifa.net/players/246/974/23_60.png,23,180,73,1703,370,Santa Clara,2000,4300000,SUB,2025,13,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium
S. Kljestan,Sacha Kljestan,67,67,325000,"CM,CAM",CM,United States,https://cdn.sofifa.net/players/176/062/23_60.png,36,185,77,1794,361,LA Galaxy,2000,488000,SUB,2022,16,2019,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/us.png,-,-,Low,Low
D. Proper,Dirk Proper,67,75,2100000,"CDM,CM",CDM,Netherlands,https://cdn.sofifa.net/players/262/334/23_60.png,20,168,63,1669,372,N.E.C. Nijmegen,3000,3600000,CM,2023,71,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
L. Greiml,Leo Greiml,67,80,2300000,CB,CB,Austria,https://cdn.sofifa.net/players/250/813/23_60.png,20,186,77,1502,313,FC Schalke 04,6000,5600000,RES,2025,3,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Low,Medium
A. Șut,Adrian Șut,67,74,1900000,"CDM,CM",CDM,Romania,https://cdn.sofifa.net/players/251/076/23_60.png,23,186,77,1826,392,FCSB (Steaua),5000,2900000,SUB,2023,8,2019,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,High
W. Pacho,William Pacho,67,78,2100000,CB,CB,Ecuador,https://cdn.sofifa.net/players/256/196/23_60.png,20,186,81,1590,356,Royal Antwerp FC,5000,3600000,CB,2026,51,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Low,Medium
K. Kraus,Kevin Kraus,67,67,850000,CB,CB,Germany,https://cdn.sofifa.net/players/201/925/23_60.png,29,190,91,1492,322,1. FC Kaiserslautern,5000,1300000,CB,2023,5,2018,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
U. Ikpeazu,Uche Ikpeazu,67,68,1200000,ST,ST,Uganda,https://cdn.sofifa.net/players/216/265/23_60.png,27,191,88,1593,345,İttifak Holding Konyaspor,7000,2500000,SUB,2024,29,2022,-,Right,4,2,1,-,-,-,-,High,Low
P. Breier,Pascal Breier,67,67,975000,"LM,ST,RM",LM,Germany,https://cdn.sofifa.net/players/204/492/23_60.png,30,185,77,1737,370,F.C. Hansa Rostock,5000,1500000,RES,2023,39,2018,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
A. Diomande,Adama Diomande,67,67,825000,ST,ST,Norway,https://cdn.sofifa.net/players/188/107/23_60.png,32,180,75,1701,365,Odds BK,2000,1000000,RES,2022,10,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium
K. Rowles,Kye Rowles,67,73,1500000,CB,CB,Australia,https://cdn.sofifa.net/players/233/931/23_60.png,24,183,80,1472,321,Heart of Midlothian,2000,3000000,CB,2025,15,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium
C. Osorio,Cleiderman Osorio,67,72,1300000,CB,CB,Venezuela,https://cdn.sofifa.net/players/254/666/23_60.png,25,180,82,1486,328,Hermanos Colmenarez,500,2900000,CB,2022,25,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium
E. Bekiroglu,Efkan Bekiroglu,67,68,1200000,"CM,CAM,CDM",CAM,Germany,https://cdn.sofifa.net/players/243/914/23_60.png,26,185,84,1788,383,Aytemiz Alanyaspor,7000,2500000,CAM,2023,11,2020,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
Lisandro Semedo,Lisandro Pedro Varela Semedo,67,68,1200000,RM,RM,Cape Verde Islands,https://cdn.sofifa.net/players/243/402/23_60.png,26,175,73,1690,368,Radomiak Radom,2000,1700000,SUB,2024,7,2022,-,Right,4,4,1,-,-,-,-,Medium,Low
M. Coulibaly,Mamadou Coulibaly,67,76,2300000,CM,CDM,Senegal,https://cdn.sofifa.net/players/238/282/23_60.png,23,183,79,1868,401,Ternana,8000,0,CM,2023,2,2022,TRUE,Right,3,3,1,-,-,-,-,Medium,Medium
N. Penneteau,Nicolas Penneteau,67,67,110000,GK,GK,France,https://cdn.sofifa.net/players/018/122/23_60.png,41,185,78,1055,360,Stade de Reims,3000,220000,RES,2023,30,2021,-,Left,3,1,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
Alex Suárez,José Alejandro Suárez Suárez,67,68,950000,"CB,RB",CB,Spain,https://cdn.sofifa.net/players/251/337/23_60.png,29,180,72,1594,343,Unión Deportiva Las Palmas,3000,1600000,RB,2024,4,2016,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
R. Longman,Ryan Longman,67,76,2300000,"RW,LW,ST",RM,England,https://cdn.sofifa.net/players/250/825/23_60.png,21,180,80,1817,393,Hull City,5000,4800000,SUB,2025,16,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
B. Taz,Berkan Taz,67,73,1600000,"CAM,CF,LM",CAM,Germany,https://cdn.sofifa.net/players/240/329/23_60.png,23,175,72,1663,358,SV Waldhof Mannheim 07,2000,2600000,LM,2022,33,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Low
B. Niňaj,Branislav Niňaj,67,69,1000000,CB,CB,Slovakia,https://cdn.sofifa.net/players/229/065/23_60.png,28,191,85,1432,311,Sepsi OSK Sf. Gheorghe,5000,1400000,CB,2023,82,2021,-,Right,3,2,1,-,-,-,-,Medium,Medium
A. Bittroff,Alexander Bittroff,67,67,475000,CB,CB,Germany,https://cdn.sofifa.net/players/188/872/23_60.png,33,186,80,1770,381,1. FC Magdeburg,4000,736000,SUB,2025,24,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium
C. Hamilton,CJ Hamilton,67,67,1100000,"RM,LM,RW",RM,Republic of Ireland,https://cdn.sofifa.net/players/225/734/23_60.png,27,185,74,1793,394,Blackpool,5000,2000000,SUB,2023,22,2020,-,Left,3,3,1,-,-,-,-,High,Medium
C. Ibañez,Cesar Ibañez,67,75,2200000,LB,LB,Argentina,https://cdn.sofifa.net/players/253/384/23_60.png,22,179,75,1626,349,Club Atlético Huracán,4000,3700000,LB,2023,25,2019,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
J. Jones,Jordan Jones,67,67,1100000,"LM,RM,CM",LM,Northern Ireland,https://cdn.sofifa.net/players/212/680/23_60.png,27,174,61,1708,366,Kilmarnock,5000,0,SUB,2023,10,2021,TRUE,Right,3,4,1,Northern Ireland,-,SUB,15,High,Medium
K. Boli,Kévin Boli,67,67,700000,CB,CB,Côte d'Ivoire,https://cdn.sofifa.net/players/205/256/23_60.png,31,185,80,1555,336,FC Botoşani,4000,945000,RES,2023,21,2022,-,Right,3,2,1,-,-,-,-,Medium,High
N. Kvekveskiri,Nika Kvekveskiri,67,67,850000,"CDM,CM",CDM,Georgia,https://cdn.sofifa.net/players/260/807/23_60.png,30,184,79,1795,372,Lech Poznań,4000,1200000,SUB,2023,30,2021,-,Right,3,3,1,-,-,-,-,Medium,Medium
R. Hernández,Robert Hernández,67,67,1000000,RM,RM,Venezuela,https://cdn.sofifa.net/players/253/895/23_60.png,28,171,63,1793,375,Deportivo Táchira FC,500,2200000,LM,2022,10,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Low
C. Mac-Intosch,Calvin Mac-Intosch,67,67,650000,CB,CB,Suriname,https://cdn.sofifa.net/players/223/687/23_60.png,32,181,78,1630,361,SC Cambuur,3000,943000,SUB,2023,3,2019,-,Right,3,2,1,-,-,-,-,Medium,High
David Goldar,David Goldar Gómez,67,68,1000000,CB,CB,Spain,https://cdn.sofifa.net/players/222/407/23_60.png,27,182,77,1654,340,UD Ibiza,3000,1600000,CB,2023,4,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
